LocationName,Category,Latitude,Longitude,PartOf
Windhoek,Capital,17.083333,-22.56666667,Namibia
Yamoussoukro,Capital,-5.266667,6.816666667,Cote d'Ivoire
Yangon,Capital,96.173526,16.840939,Myanmar
Yaounde,Capital,11.516667,3.866666667,Cameroon
Yaren,Capital,166.920867,-0.5477,Nauru
Yemen,Country,44.2,15.35,Asia
Yerevan,Capital,44.5,40.16666667,Armenia
Zagreb,Capital,16,45.8,Croatia
Zambia,Country,28.283333,-15.41666667,Africa
Zanzibar City,Capital,39.1989144,-6.165193,Tanzania
Zimbabwe,Country,31.033333,-17.81666667,Africa
Zomba,Capital,35.3356518,-15.3765857,Malawi
