Name,Capital,Type,Existed,Region,Today Part of,CountryName,Country_Latitude,Country_Longitude
Principality of Bulgaria,,Principality,1878–1908,Europe: Balkans,Bulgaria,Bulgaria,42.68333333,23.316667
Kingdom of Croatia (Habsburg),,Kingdom,1527–1868,Europe: Balkans,Croatia,Croatia,45.8,16
Kingdom of Croatia-Slavonia,,Kingdom,1868–1918,Europe: Balkans,Croatia,Croatia,45.8,16
Republic of Ragusa,Ragusa,Republic,1358–1807,Europe: Balkans,Croatia,Croatia,45.8,16
Kingdom of Greece,Various,Kingdom,1832–1924; 1935–1941; 1944–1974,Europe: Balkans,Greece,Greece,37.98333333,23.733333
United States of the Ionian Islands,,,1815–1864,Europe: Balkans,Greece,Greece,37.98333333,23.733333
Septinsular Republic,,Republic,1800–1815,Europe: Balkans,Greece,Greece,37.98333333,23.733333
First Hellenic Republic,,Republic,1828–1832,Europe: Balkans,Greece,Greece,37.98333333,23.733333
Kosovo Vilayet,,,1877–1913,Europe: Balkans,Kosovo,Kosovo,42.66666667,21.166667
Prince-Bishopric of Montenegro,,Prince-Bishopric,1696–1852,Europe: Balkans,Montenegro,Montenegro,42.43333333,19.266667
Principality of Montenegro,,Principality,1852–1910,Europe: Balkans,Montenegro,Montenegro,42.43333333,19.266667
Kingdom of Serbia,,Kingdom,1882–1918,Europe: Balkans,Serbia,Serbia,44.83333333,20.5
Principality of Serbia,,Principality,1815–1882,Europe: Balkans,Serbia,Serbia,44.83333333,20.5
Illyrian Provinces,,"Protectorate, French",1809–1816,Europe: Balkans,Slovenia,Slovenia,46.05,14.516667
United Kingdom of Great Britain and Ireland,London,Kingdom,1801–1922,Europe: British Isles,United Kingdom,United Kingdom,51.5,-0.083333
Austria-Hungary,"Vienna, Budapest",Monarchy,1867–1918,Europe: Central,Austria,Austria,48.2,16.366667
Archduchy of Austria,Vienna,Archduchy,1453–1806/1918,Europe: Central,Austria,Austria,48.2,16.366667
Habsburg monarchy,,Composite monarchy,1526–1804,Europe: Central,Austria,Austria,48.2,16.366667
Austrian Empire,Vienna,Empire,1804–1867,Europe: Central,Austrian,,,
Kingdom of Bohemia,,Kingdom,1198–1918,Europe: Central,Czech Republic,Czech Republic,50.08333333,14.466667
German Confederation,,Confederation,1815–1866,Europe: Central,Germany,Germany,52.51666667,13.4
German Empire,Berlin,Empire,1871–1918,Europe: Central,Germany,Germany,52.51666667,13.4
Holy Roman Empire,Hamburg,Empire,962–1806,Europe: Central,Germany,Germany,52.51666667,13.4
North German Confederation,,Confederation,1867–1871,Europe: Central,Germany,Germany,52.51666667,13.4
Confederation of the Rhine,,Confederation,1806–1813,Europe: Central,Germany,Germany,52.51666667,13.4
Duchy of Anhalt,,Duchy,1806–1918,Europe: Central,Germany,Germany,52.51666667,13.4
Anhalt-Bernburg,,Monarchy,1252–1468; 1603–1863,Europe: Central,Germany,Germany,52.51666667,13.4
Anhalt-Dessau,,Monarchy,1396–1561; 1603–1863,Europe: Central,Germany,Germany,52.51666667,13.4
Anhalt-Köthen,,Monarchy,1396–1561; 1603–1853,Europe: Central,Germany,Germany,52.51666667,13.4
Principality of Aschaffenburg,,Principality,1803–1810,Europe: Central,Germany,Germany,52.51666667,13.4
Grand Duchy of Baden,,Grand Duchy,1806–1918,Europe: Central,Germany,Germany,52.51666667,13.4
Kingdom of Bavaria,,Kingdom,1805–1918,Europe: Central,Germany,Germany,52.51666667,13.4
Grand Duchy of Berg,,Grand Duchy,1806–1813,Europe: Central,Germany,Germany,52.51666667,13.4
Bremen,,City-state republic,1806–1867,Europe: Central,Germany,Germany,52.51666667,13.4
Duchy of Brunswick,Braunschweig,Duchy,1815–1918,Europe: Central,Germany,Germany,52.51666667,13.4
Free City of Frankfurt,,City-state republic,1372–1806; 1816–1866,Europe: Central,Germany,Germany,52.51666667,13.4
Grand Duchy of Frankfurt,,Client Grand Duchy,1810–1813,Europe: Central,Germany,Germany,52.51666667,13.4
Free Imperial City of Hamburg,,City-state,1806–1867,Europe: Central,Germany,Germany,52.51666667,13.4
Electorate of Brunswick-Lüneburg,,Electorate,1692–1807,Europe: Central,Germany,Germany,52.51666667,13.4
Kingdom of Hanover,,Kingdom,1814–1866,Europe: Central,Germany,Germany,52.51666667,13.4
Electorate of Hesse,,Monarchy,1803–1807; 1813–1866,Europe: Central,Germany,Germany,52.51666667,13.4
Grand Duchy of Hesse and by Rhine,,Grand Duchy,1806–1918,Europe: Central,Germany,Germany,52.51666667,13.4
Landgraviate of Hesse-Darmstadt,,Landgraviate,1567–1806,Europe: Central,Germany,Germany,52.51666667,13.4
Hesse-Homburg,,Landgraviate,1622–1866,Europe: Central,Germany,Germany,52.51666667,13.4
Hohenzollern-Hechingen,,Monarchy,1576–1850,Europe: Central,Germany,Germany,52.51666667,13.4
Hohenzollern-Sigmaringen,,Monarchy,1576–1850,Europe: Central,Germany,Germany,52.51666667,13.4
Duchy of Holstein,,Duchy,1474–1864,Europe: Central,Germany,Germany,52.51666667,13.4
Principality of Leyen,,Client Principality,1806–1814,Europe: Central,Germany,Germany,52.51666667,13.4
Principality of Lippe,,Principality,1123–1918,Europe: Central,Germany,Germany,52.51666667,13.4
Free City of Lübeck,,City-state,1226–1811; 1815–1937,Europe: Central,Germany,Germany,52.51666667,13.4
Electorate of Mainz,,Monarchy,780–1803,Europe: Central,Germany,Germany,52.51666667,13.4
Duchy of Mecklenburg-Schwerin,,Duchy,1379–1815,Europe: Central,Germany,Germany,52.51666667,13.4
Grand Duchy of Mecklenburg-Schwerin,,Grand Duchy,1815–1918,Europe: Central,Germany,Germany,52.51666667,13.4
Duchy of Mecklenburg-Strelitz,,Duchy,1701–1815,Europe: Central,Germany,Germany,52.51666667,13.4
Grand Duchy of Mecklenburg-Strelitz,,Grand Duchy,1815–1918,Europe: Central,Germany,Germany,52.51666667,13.4
Duchy of Nassau,,Duchy,1806–1866,Europe: Central,Germany,Germany,52.51666667,13.4
Grand Duchy of Oldenburg,,Grand Duchy,1814–1918,Europe: Central,Germany,Germany,52.51666667,13.4
Kingdom of Prussia,,Kingdom,1701–1918,Europe: Central,Germany,Germany,52.51666667,13.4
Prussia,,Kingdom,1525–1947,Europe: Central,Germany,Germany,52.51666667,13.4
Principality of Regensburg,,Principality,1803–1810,Europe: Central,Germany,Germany,52.51666667,13.4
Reuss,,,c.1010–1778/1806,Europe: Central,Germany,Germany,52.51666667,13.4
Reuss-Ebersdorf,,Monarchy,1678–1824,Europe: Central,Germany,Germany,52.51666667,13.4
Principality of Reuss-Gera,,Principality,1806–1918,Europe: Central,Germany,Germany,52.51666667,13.4
Principality of Reuss-Greiz,,Principality,1778–1918,Europe: Central,Germany,Germany,52.51666667,13.4
Reuss-Lobenstein,,Monarchy,1425–1547; 1647–1824,Europe: Central,Germany,Germany,52.51666667,13.4
Duchy of Saxe-Altenburg,,Duchy,1602–1672; 1826–1920,Europe: Central,Germany,Germany,52.51666667,13.4
Saxe-Coburg and Gotha,,Duchy,1826–1918,Europe: Central,Germany,Germany,52.51666667,13.4
Saxe-Coburg-Saalfeld,,Duchy,1699–1825,Europe: Central,Germany,Germany,52.51666667,13.4
Saxe-Gotha-Altenburg,,Duchy,1680–1826,Europe: Central,Germany,Germany,52.51666667,13.4
Saxe-Hildburghausen,,Duchy,1680–1826,Europe: Central,Germany,Germany,52.51666667,13.4
Saxe-Lauenburg,,Duchy,1296–1803; 1814–1876,Europe: Central,Germany,Germany,52.51666667,13.4
Duchy of Saxe-Meiningen,,Duchy,1680–1918,Europe: Central,Germany,Germany,52.51666667,13.4
Grand Duchy of Saxe-Weimar-Eisenach,,Grand Duchy,1809–1918,Europe: Central,Germany,Germany,52.51666667,13.4
Kingdom of Saxony,,Kingdom,1806–1918,Europe: Central,Germany,Germany,52.51666667,13.4
Principality of Schaumburg-Lippe,,Principality,1643–1918,Europe: Central,Germany,Germany,52.51666667,13.4
Schwarzburg-Rudolstadt,,Principality,1599–1919,Europe: Central,Germany,Germany,52.51666667,13.4
Schwarzburg-Sondershausen,,Principality,1599–1920,Europe: Central,Germany,Germany,52.51666667,13.4
Waldeck,,Principality,1180–1918,Europe: Central,Germany,Germany,52.51666667,13.4
Kingdom of Westphalia,,Kingdom,1807–1813,Europe: Central,Germany,Germany,52.51666667,13.4
Württemberg,,Monarchy,11th century–1918,Europe: Central,Germany,Germany,52.51666667,13.4
Grand Duchy of Würzburg,,Grand Duchy,1805–1814,Europe: Central,Germany,Germany,52.51666667,13.4
Kingdom of Hungary,Various,Kingdom,1000–1918,Europe: Central,Hungary,Hungary,47.5,19.083333
Liechtenstein,,Principality,1806–present,Europe: Central,Liechtenstein,Liechtenstein,47.13333333,9.516667
Kingdom of Galicia and Lodomeria,,Kingdom,1772–1918,Europe: Central,Poland,Poland,52.25,21
Free City of Kraków,,City-state republic,1815–1846,Europe: Central,Poland,Poland,52.25,21
Duchy of Warsaw,,Occupation,1807–1815,Europe: Central,Poland,Poland,52.25,21
Helvetic Republic,,Republic,1798–1803,Europe: Central,Switzerland,Switzerland,46.91666667,7.466667
Switzerland of the Napoleonic era,,Confederation,1803–1815,Europe: Central,Switzerland,Switzerland,46.91666667,7.466667
Restoration and Regeneration in Switzerland,,,1815–1848,Europe: Central,Switzerland,Switzerland,46.91666667,7.466667
Switzerland,,,1848–present,Europe: Central,Switzerland,Switzerland,46.91666667,7.466667
Principality of Moldavia,,Principality,1346–1859,Europe: East,Romania,Romania,44.43333333,26.1
United Principalities of Moldavia and Wallachia,,Principalities,1859–1881,Europe: East,Romania,Romania,44.43333333,26.1
Kingdom of Romania,,Kingdom,1881–1947,Europe: East,Romania,Romania,44.43333333,26.1
Principality of Wallachia,,Principality,1330–1859,Europe: East,Romania,Romania,44.43333333,26.1
Governorate of Estonia,,Province (Russia),1721–1917,"Europe: East, Baltic",Estonia,Estonia,59.43333333,24.716667
Russian Empire,,Empire,1721–1917,Europe: East; Asia: Central,Russia,Russia,55.75,37.6
Denmark,Various,Kingdom,1814–present,Europe: Nordic,Denmark,Denmark,55.66666667,12.583333
Denmark–Norway,,Kingdom,1524–1814,Europe: Nordic,Denmark,Denmark,55.66666667,12.583333
Duchy of Schleswig,,Duchy,1058–1866,Europe: Nordic,Denmark,Denmark,55.66666667,12.583333
Grand Duchy of Finland,,Grand Duchy,1809–1917,Europe: Nordic,Finland,Finland,60.16666667,24.933333
Kingdom of Norway (1814),,Kingdom,1814,Europe: Nordic,Norway,Norway,59.91666667,10.75
Gustavian era Sweden,,,1523–1814; 1905–present,Europe: Nordic,Sweden,Sweden,59.33333333,18.05
Sweden–Norway,Various,Kingdom,1814–1905,Europe: Nordic,Sweden,Sweden,59.33333333,18.05
Cisalpine Republic,,Republic,1797–1802,Europe: Southcentral,Italy,Italy,41.9,12.483333
Republic of Cospaia,,Republic,1440–1826,Europe: Southcentral,Italy,Italy,41.9,12.483333
Sovereign Principality of Elba,,Principality,1814–1815,Europe: Southcentral,Italy,Italy,41.9,12.483333
Kingdom of Etruria,,Kingdom,1801–1807,Europe: Southcentral,Italy,Italy,41.9,12.483333
Republic of Genoa,,Republic,1005–1797; 1814–1815,Europe: Southcentral,Italy,Italy,41.9,12.483333
Italian Republic (Napoleonic),,Republic/client,1802–1805,Europe: Southcentral,Italy,Italy,41.9,12.483333
Kingdom of Italy (Napoleonic),,Kingdom,1805–1814,Europe: Southcentral,Italy,Italy,41.9,12.483333
Kingdom of Italy,,Kingdom,1861–1946,Europe: Southcentral,Italy,Italy,41.9,12.483333
Ligurian Republic,,Republic,1797–1805,Europe: Southcentral,Italy,Italy,41.9,12.483333
Kingdom of Lombardy–Venetia,,Kingdom,1815–1866,Europe: Southcentral,Italy,Italy,41.9,12.483333
Lucca,,Duchy,1815–1847,Europe: Southcentral,Italy,Italy,41.9,12.483333
Republic of Lucca,Lucca,Republic,1160–1805,Europe: Southcentral,Italy,Italy,41.9,12.483333
Duchy of Massa and Principality of Carrara,,Duchy,15th–19th century,Europe: Southcentral,Italy,Italy,41.9,12.483333
Duchy of Modena and Reggio,,Duchy,1452–1796; 1814–1859,Europe: Southcentral,Italy,Italy,41.9,12.483333
Kingdom of Naples,,Kingdom,1285–1816,Europe: Southcentral,Italy,Italy,41.9,12.483333
Kingdoms of Naples and Sicily,,Kingdom,1043–1410; 1442–1500; 1735–1816,Europe: Southcentral,Italy,Italy,41.9,12.483333
Duchy of Parma,,Duchy,1545–1859,Europe: Southcentral,Italy,Italy,41.9,12.483333
Kingdom of Sardinia,"Cagliari, Turin",Kingdom,1324–1861,Europe: Southcentral,Italy,Italy,41.9,12.483333
Kingdom of Trinacria: Sicily,Various,Kingdom,1130–1816,Europe: Southcentral,Italy,Italy,41.9,12.483333
Duchy of Tridentum,Benevento,Duchy/Principality,574–1802,Europe: Southcentral,Italy,Italy,41.9,12.483333
Grand Duchy of Tuscany,,Grand Duchy,1569–1801; 1815–1859,Europe: Southcentral,Italy,Italy,41.9,12.483333
Kingdom of the Two Sicilies,,Kingdom,1816–1861,Europe: Southcentral,Italy,Italy,41.9,12.483333
Gozo,,,1798–1801,Europe: Southcentral,Italy,Italy,41.9,12.483333
Roman Republic (19th century),,Republic,1849,Europe: Southcentral,Italy,Italy,41.9,12.483333
Malta Protectorate,,"Protectorate, British",1800–1813,Europe: Southcentral,Malta,Malta,35.88333333,14.5
Crown Colony of Malta,,"Colony, British",1813–1964,Europe: Southcentral,Malta,Malta,35.88333333,14.5
Papal States,Rome,Pontificate,754–1870,Europe: Southcentral,Papal,,,
San Marino,San Marino,Republic,AD 301–present,Europe: Southcentral,San Marino,San Marino,43.93333333,12.416667
Andorra,,Principality,1278–present,Europe: Southwest,Andorra,Andorra,42.5,1.516667
Kingdom of Portugal,Various,Kingdom,1139–1910,Europe: Southwest,Portugal,Portugal,38.71666667,-9.133333
Bourbon Spain,,Kingdom,1700–1812,Europe: Southwest,Spain,Spain,40.4,-3.683333
First Spanish Republic,,Republic,1873–1874,Europe: Southwest,Spain,Spain,40.4,-3.683333
Kingdom of Spain (1810–1873),,Kingdom,1813–1873,Europe: Southwest,Spain,Spain,40.4,-3.683333
Bourbon Restoration of Spain,"Toledo, Madrid",Kingdom,1874–1931,Europe: Southwest,Spain,Spain,40.4,-3.683333
Kingdom of Galicia,Santiago de Compostela,Kingdom,409–1833,Europe: Southwest,Spain,Spain,40.4,-3.683333
Alsace-Lorraine,,German Colony,1871–1918,Europe: West,France,France,48.86666667,2.333333
Bourbon Restoration in France,Paris,,1814–1815; 1815–1830,Europe: West,France,France,48.86666667,2.333333
First French Empire,,Empire,1804–1814; 1815,Europe: West,France,France,48.86666667,2.333333
French First Republic,,Republic,1792–1804,Europe: West,France,France,48.86666667,2.333333
French Second Republic,,Republic,1848–1852,Europe: West,France,France,48.86666667,2.333333
July Monarchy,,Monarchy,1830–1848,Europe: West,France,France,48.86666667,2.333333
French Third Republic,,Republic,1870–1940,Europe: West,France,France,48.86666667,2.333333
Second French Empire,,Empire,1852–1870,Europe: West,France,France,48.86666667,2.333333
Roquebrune-Cap-Martin,,,1848–1860,Europe: West,France,France,48.86666667,2.333333
Monaco,,,1419–1793; 1814–present,Europe: West,Monaco,Monaco,43.73333333,7.416667
Belgium,Brussels,Kingdom,1830–present,"Europe: West, Low Countries",Belgium,Belgium,50.83333333,4.333333
Luxembourg,,,1815–present,"Europe: West, Low Countries",Luxembourg,Luxembourg,49.6,6.116667
Batavian Republic,,Republic,1795–1806,"Europe: West, Low Countries",Netherlands,Netherlands,52.35,4.916667
Kingdom of Holland,,Kingdom,1806–1810,"Europe: West, Low Countries",Netherlands,Netherlands,52.35,4.916667
Sovereign Principality of the United Netherlands,,Principality,1813–1815,"Europe: West, Low Countries",Netherlands,Netherlands,52.35,4.916667
United Kingdom of the Netherlands,,Kingdom,1815–1839,"Europe: West, Low Countries",Netherlands,Netherlands,52.35,4.916667
Kingdom of the Netherlands,,Kingdom,1839–present,"Europe: West, Low Countries",Netherlands,Netherlands,52.35,4.916667
Australia,,"Colony, British",1788–1901,Oceania,Australia,Australia,-35.26666667,149.133333
Kingdom of Bora Bora,,Kingdom,Early 19th century–1895*,Oceania,Bora Bora,,,
Cook Islands Federation,,Federation,1893–1901,Oceania,Cook Islands,Cook Islands,-21.2,-159.766667
Portuguese Timor,,"Colony, Portuguese",1702–1975,Oceania,East Timor,,,
Easter Island,,Kingdom,900–1878,Oceania,Easter Island,,,
Colony of Fiji,,"Colony, British",1874–1970,Oceania,Fiji,Fiji,-18.13333333,178.416667
Kingdom of Fiji,,Kingdom,1871–1874,Oceania,Fiji,Fiji,-18.13333333,178.416667
Kingdom of Huahine,,Kingdom,1760–1895,Oceania,French Polynesia,French Polynesia,-17.53333333,-149.566667
Kingdom of Mangareva,,Kingdom,18th century–1881,Oceania,French Polynesia,French Polynesia,-17.53333333,-149.566667
Raiatea,,Monarchy,18th century–1888,Oceania,French Polynesia,French Polynesia,-17.53333333,-149.566667
Gilbert and Ellice Islands,,British Colony,1892–1976,Oceania,Kiribati,Kiribati,-0.883333333,169.533333
German New Guinea,,"Colony, German",1884–1919,Oceania,New Guinea,,,
Kingdom of Rarotonga,,Kingdom,1858–1893,Oceania,New Zealand,New Zealand,-41.3,174.783333
Colony of New Zealand,,"Colony, British",1841–1907,Oceania,New Zealand,New Zealand,-41.3,174.783333
Niuean monarchy,,Monarchy,c. 1700–1900,Oceania,Niue,Niue,-19.01666667,-169.916667
British protectorate of Niue,,"Protectorate, British",1900–1974,Oceania,Niue,Niue,-19.01666667,-169.916667
Territory of Papua,,"Territory, British",1883–1949,Oceania,Papua New Guinea,Papua New Guinea,-9.45,147.183333
German Samoa,,"Colony, German",1900–1920,Oceania,Samoa,Samoa,-13.81666667,-171.766667
Malietoa dynasty (Samoa),,Monarchy,pre-1858–1900,Oceania,Samoa,Samoa,-13.81666667,-171.766667
Tui Manua dynasty (Samoa),,Monarchy,up to 1900,Oceania,Samoa,Samoa,-13.81666667,-171.766667
British Solomon Islands,,"Colony, British",1893–1978,Oceania,Solomon Islands,Solomon Islands,-9.433333333,159.95
Kingdom of Tahiti,,Kingdom,1788–1880,Oceania,Tahiti,,,
Kingdom of Tonga (1900–1970),,Protectorate,1900–1970,Oceania,Tonga,Tonga,-21.13333333,-175.2
Tonga,,Kingdom,1845–1900; 1970–present,Oceania,Tonga,Tonga,-21.13333333,-175.2
Tuʻi Tonga Empire,,Empire,450s–1865,Oceania,Tonga,Tonga,-21.13333333,-175.2
Hawaiian Kingdom,,Kingdom,1795–1893,Oceania,United States,United States,38.883333,-77
Provisional Government of Hawaii,,Provisional Government,1893–1894,Oceania,United States,United States,38.883333,-77
Republic of Hawaii,,Republic,1894–1898,Oceania,United States,United States,38.883333,-77
Anglo-French Joint Naval Commission,,"Colony, British/French",1887–1906,Oceania,Vanuatu,Vanuatu,-17.73333333,168.316667
